id,name,price,shelledTotal,leftTotal,category
670,Muscletech肌肉科技高性能增肌粉 7磅 香草味,¥ 349,市场价：¥527 30天累计售出92件, 80,增肌最佳组合
990,ON 欧普特蒙 金牌健肌粉 香草冰激凌味 5磅,¥ 369,市场价：¥799 30天累计售出91件, 7,增肌最佳组合
989,ON 欧普特蒙 金牌健肌粉 巧克力味 5磅,¥ 369,市场价：¥799 30天累计售出91件, 19,增肌最佳组合
44,Metrx美瑞克斯 乳清蛋白粉 5磅 巧克力味,¥ 410,市场价：¥829 30天累计售出102件, 12,蛋白粉类
669,Muscletech肌肉科技白金乳清蛋白粉 5磅 香草味,¥ 430,市场价：¥430 30天累计售出84件, 24,蛋白粉类
659,Allmax 奥麦斯乳清蛋白粉 5磅 巧克力口味,¥ 376,市场价：¥372 30天累计售出46件, 146,蛋白粉类
1081,魔兽四核乳清蛋白粉 香草  5磅,¥ 468,市场价：¥589 30天累计售出23件, 99,蛋白粉类
12,Metrx美瑞克斯 乳清蛋白粉 5磅 香草味,¥ 410,市场价：¥599 30天累计售出67件, 33,蛋白粉类
993,Allmax奥麦斯 金标乳清蛋白粉 香草味 5磅,¥ 481,市场价：¥998 30天累计售出51件, 34,蛋白粉类
963,【送摇杯】Nutrend 诺特兰德 100%乳清蛋白粉 香草味 5磅,¥ 493,市场价：¥859 30天累计售出3件, 31,蛋白粉类
840,CPT康比特乳清蛋白（香草味）750g,¥ 199,市场价：¥298 30天累计售出32件, 89,蛋白粉类
835,CPT康比特正氮蛋白 2270g,¥ 538,市场价：¥896 30天累计售出20件, 90,蛋白粉类
150,Muscletech肌肉科技 白金乳清蛋白粉 5磅 巧克力味,¥ 430,市场价：¥430 30天累计售出88件, 32,蛋白粉类
701,Scivation Xtend支链氨基酸 1152克 西瓜味,¥ 398,市场价：¥684 30天累计售出56件, 7,蛋白粉类
984,BIOX-PREMIUM/百欧克斯 卓越系列 支链氨基酸bcaa 蓝莓口味 30份,¥ 178,市场价：¥398 30天累计售出56件, 15,蛋白粉类
613,Scivation Xtend支链氨基酸 1174克 葡萄味,¥ 398,市场价：¥684 30天累计售出37件, 43,蛋白粉类
657,BPI复合肌酸 西瓜味 300克,¥ 158,市场价：¥158 30天累计售出31件, 71,肌酸类
933,BPI复合肌酸 冰激凌味 300克,¥ 158,市场价：¥310 30天累计售出31件, 27,肌酸类
636,Muscletech肌肉科技 高性能量子肌酸 原味 120份,¥ 198,市场价：¥599 30天累计售出55件, 78,肌酸类
777,Muscletech肌肉科技白金肌酸粉400g,¥ 129,市场价：¥299 30天累计售出65件, 641,肌酸类
