id,name,price,shelledTotal,leftTotal,category
670,Muscletech肌肉科技高性能增肌粉 7磅 香草味,349,92,81,增肌最佳组合
990,ON 欧普特蒙 金牌健肌粉 香草冰激凌味 5磅,369,91,7,增肌最佳组合
989,ON 欧普特蒙 金牌健肌粉 巧克力味 5磅,369,91,19,增肌最佳组合
44,Metrx美瑞克斯 乳清蛋白粉 5磅 巧克力味,410,102,12,蛋白粉类
669,Muscletech肌肉科技白金乳清蛋白粉 5磅 香草味,430,84,29,蛋白粉类
659,Allmax 奥麦斯乳清蛋白粉 5磅 巧克力口味,376,46,146,蛋白粉类
1081,魔兽四核乳清蛋白粉 香草  5磅,468,23,99,蛋白粉类
12,Metrx美瑞克斯 乳清蛋白粉 5磅 香草味,410,67,33,蛋白粉类
993,Allmax奥麦斯 金标乳清蛋白粉 香草味 5磅,481,51,34,蛋白粉类
963,【送摇杯】Nutrend 诺特兰德 100%乳清蛋白粉 香草味 5磅,493,3,31,蛋白粉类
840,CPT康比特乳清蛋白（香草味）750g,199,32,89,蛋白粉类
835,CPT康比特正氮蛋白 2270g,538,20,90,蛋白粉类
1142,【送摇杯】Nutrend 诺特兰德 100%乳清蛋白粉 蓝莓味 5磅,493,3,28,蛋白粉类
657,BPI复合肌酸 西瓜味 300克,158,31,71,肌酸类
933,BPI复合肌酸 冰激凌味 300克,158,31,27,肌酸类
636,Muscletech肌肉科技 高性能量子肌酸 原味 120份,198,55,78,肌酸类
777,Muscletech肌肉科技白金肌酸粉400g,129,65,640,肌酸类
851,EAS 麦普乐 纯肌酸 500克,158,12,7,肌酸类
1037,Muscletech肌肉科技 高性能量子肌酸 水果味 120份,198,55,58,肌酸类
921,BPI支链氨基酸 西瓜味 300克,155,29,181,氨基酸类
953,Scivation X-tend支链氨基酸柠檬味 30份 390克,170,56,5,氨基酸类
612,Scivation Xtend支链氨基酸 1248克 蓝莓味,398,26,7,氨基酸类
603,BPI 支链氨基酸 蓝莓味 300克,155,29,151,氨基酸类
