id,name,price,shelledTotal,leftTotal,category
670,Muscletech肌肉科技高性能增肌粉 7磅 香草味,¥ 349,市场价：¥527 30天累计售出92件,库存: 87,增肌最佳组合
990,ON 欧普特蒙 金牌健肌粉 香草冰激凌味 5磅,¥ 369,市场价：¥799 30天累计售出91件,库存: 6,增肌最佳组合
989,ON 欧普特蒙 金牌健肌粉 巧克力味 5磅,¥ 369,市场价：¥799 30天累计售出91件,库存: 20,增肌最佳组合
44,Metrx美瑞克斯 乳清蛋白粉 5磅 巧克力味,¥ 410,市场价：¥829 30天累计售出102件,库存: 18,蛋白粉类
669,Muscletech肌肉科技白金乳清蛋白粉 5磅 香草味,¥ 430,市场价：¥430 30天累计售出84件,库存: 31,蛋白粉类
659,Allmax 奥麦斯乳清蛋白粉 5磅 巧克力口味,¥ 376,市场价：¥372 30天累计售出46件,库存: 148,蛋白粉类
1142,【送摇杯】Nutrend 诺特兰德 100%乳清蛋白粉 蓝莓味 5磅,¥ 493,市场价：¥859 30天累计售出3件,库存: 29,蛋白粉类
12,Metrx美瑞克斯 乳清蛋白粉 5磅 香草味,¥ 410,市场价：¥599 30天累计售出67件,库存: 33,蛋白粉类
1073,魔兽ISO分离乳清蛋白粉  巧克力布朗尼口味 5磅,¥ 588,市场价：¥698 30天累计售出23件,库存: 98,蛋白粉类
980,BIOX-PREMIUM/百欧克斯 卓越系列 乳清蛋白粉5磅 巧克力味,¥ 471,市场价：¥998 30天累计售出1001件,库存: 14,蛋白粉类
940,Allmax奥麦斯 分离乳清蛋白粉 草莓味 5磅,¥ 598,市场价：¥598 30天累计售出5件,库存: 100,蛋白粉类
837,CPT康比特乳清蛋白（巧克力）2270g,¥ 462,市场价：¥798 30天累计售出28件,库存: 92,蛋白粉类
150,Muscletech肌肉科技 白金乳清蛋白粉 5磅 巧克力味,¥ 430,市场价：¥430 30天累计售出88件,库存: 38,蛋白粉类
701,Scivation Xtend支链氨基酸 1152克 西瓜味,¥ 398,市场价：¥684 30天累计售出56件,库存: 7,蛋白粉类
984,BIOX-PREMIUM/百欧克斯 卓越系列 支链氨基酸bcaa 蓝莓口味 30份,¥ 178,市场价：¥398 30天累计售出56件,库存: 15,蛋白粉类
613,Scivation Xtend支链氨基酸 1174克 葡萄味,¥ 398,市场价：¥684 30天累计售出37件,库存: 42,蛋白粉类
657,BPI复合肌酸 西瓜味 300克,¥ 158,市场价：¥158 30天累计售出31件,库存: 72,肌酸类
933,BPI复合肌酸 冰激凌味 300克,¥ 158,市场价：¥310 30天累计售出31件,库存: 29,肌酸类
636,Muscletech肌肉科技 高性能量子肌酸 原味 120份,¥ 198,市场价：¥599 30天累计售出55件,库存: 79,肌酸类
777,Muscletech肌肉科技白金肌酸粉400g,¥ 129,市场价：¥299 30天累计售出65件,库存: 649,肌酸类
851,EAS 麦普乐 纯肌酸 500克,¥ 158,市场价：¥328 30天累计售出12件,库存: 10,肌酸类
1037,Muscletech肌肉科技 高性能量子肌酸 水果味 120份,¥ 198,市场价：¥599 30天累计售出55件,库存: 59,肌酸类
921,BPI支链氨基酸 西瓜味 300克,¥ 155,市场价：¥342 30天累计售出29件,库存: 202,氨基酸类
953,Scivation X-tend支链氨基酸柠檬味 30份 390克,¥ 170,市场价：¥330 30天累计售出56件,库存: 8,氨基酸类
612,Scivation Xtend支链氨基酸 1248克 蓝莓味,¥ 398,市场价：¥398 30天累计售出26件,库存: 9,氨基酸类
603,BPI 支链氨基酸 蓝莓味 300克,¥ 155,市场价：¥155 30天累计售出29件,库存: 167,氨基酸类
985,Allmax/奥麦斯支链氨基酸 1166g 菠萝芒果,¥ 452,市场价：¥998 30天累计售出56件,库存: 29,氨基酸类
